date,price,daily_return_pct,rolling_volatility_7d,abs_daily_return,is_anomaly,anomaly_reason
2024-01-10,0.755,,,,False,
2024-01-11,0.72,-4.635761589403975,,4.635761589403975,False,
2024-01-12,0.645,-10.416666666666663,,10.416666666666663,False,
2024-01-13,0.555,-13.953488372093014,4.703686562777774,13.953488372093014,False,
2024-01-14,0.5,-9.90990990990992,3.8424381732412907,9.90990990990992,False,
2024-01-15,0.545,9.000000000000007,9.012658412473012,9.000000000000007,False,
2024-01-16,0.55,0.917431192660545,8.53924945986892,0.917431192660545,False,
2024-01-17,0.455,-17.272727272727273,9.103411708166826,17.272727272727273,False,
2024-01-18,0.525,15.384615384615397,12.381741814533505,15.384615384615397,False,
2024-01-19,0.535,1.904761904761898,12.149701409461217,1.904761904761898,False,
2024-01-20,0.585,9.345794392523343,11.500080874275408,9.345794392523343,False,
2024-01-21,0.585,0.0,10.44625311924109,0.0,False,
2024-01-22,0.585,0.0,10.097447035366917,0.0,False,
2024-01-23,0.54,-7.692307692307676,10.68315345784341,7.692307692307676,False,
2024-01-24,0.53,-1.851851851851849,7.621574395884156,1.851851851851849,False,
2024-01-25,0.5,-5.660377358490576,5.528402304817885,5.660377358490576,False,
2024-01-26,0.505,1.0000000000000009,5.471322431541885,1.0000000000000009,False,
2024-01-27,0.455,-9.9009900990099,4.29456072325679,9.9009900990099,False,
2024-01-28,0.47,3.296703296703285,4.876483003418223,3.296703296703285,False,
2024-01-29,0.48,2.127659574468077,5.1512213758297385,2.127659574468077,False,
2024-01-30,0.445,-7.2916666666666625,5.087939601069937,7.2916666666666625,False,
2024-01-31,0.475,6.741573033707859,6.213911522167525,6.741573033707859,False,
2024-02-01,0.485,2.1052631578947434,6.013134332628958,2.1052631578947434,False,
2024-02-02,0.485,0.0,5.989641919673697,0.0,False,
2024-02-03,0.465,-4.123711340206182,4.730828395271788,4.123711340206182,False,
2024-02-04,0.405,-12.903225806451612,6.653778636910813,12.903225806451612,False,
2024-02-05,0.4,-1.2345679012345734,6.431693248310366,1.2345679012345734,False,
2024-02-06,0.415,3.7499999999999867,6.382028957129581,3.7499999999999867,False,
2024-02-07,0.42,1.2048192771084265,5.5833690417241195,1.2048192771084265,False,
2024-02-08,0.425,1.1904761904761862,5.492144719607692,1.1904761904761862,False,
2024-02-09,0.425,0.0,5.492144719607692,0.0,False,
2024-02-10,0.47,10.588235294117654,7.024918667231165,10.588235294117654,False,
2024-02-11,0.475,1.0638297872340496,3.9265866965781355,1.0638297872340496,False,
2024-02-12,0.465,-2.1052631578947323,4.070800479345041,2.1052631578947323,False,
2024-02-13,0.485,4.3010752688172005,4.1099704452038734,4.3010752688172005,False,
2024-02-14,0.475,-2.0618556701030966,4.430701269087217,2.0618556701030966,False,
2024-02-15,0.42,-11.578947368421055,6.763763587242705,11.578947368421055,False,
2024-02-16,0.395,-5.952380952380942,7.132232524324346,5.952380952380942,False,
2024-02-17,0.395,0.0,5.159217316085092,0.0,False,
2024-02-18,0.385,-2.5316455696202556,4.938906058554939,2.5316455696202556,False,
2024-02-19,0.385,0.0,5.054351960315175,0.0,False,
2024-02-20,0.455,18.181818181818187,9.206164630867077,18.181818181818187,False,
2024-02-21,0.465,2.19780219780219,9.231347082804021,2.19780219780219,False,
2024-02-22,0.465,0.0,7.713990464306367,0.0,False,
2024-02-23,0.41,-11.827956989247323,8.911990163774503,11.827956989247323,False,
2024-02-24,0.41,0.0,8.911990163774503,0.0,False,
2024-02-25,0.435,6.0975609756097615,8.961329446030012,6.0975609756097615,False,
2024-02-26,0.435,0.0,8.961329446030012,0.0,False,
2024-02-27,0.425,-2.298850574712641,5.512680858309317,2.298850574712641,False,
2024-02-28,0.445,4.705882352941182,5.815683360097054,4.705882352941182,False,
2024-02-29,0.44,-1.1235955056179803,5.81590149956464,1.1235955056179803,False,
2024-03-01,0.445,1.1363636363636465,3.0768070011312605,1.1363636363636465,False,
2024-03-02,0.445,0.0,3.0768070011312605,0.0,False,
2024-03-03,0.445,0.0,2.2040622204760383,0.0,False,
2024-03-04,0.445,0.0,2.2040622204760383,0.0,False,
2024-03-05,0.435,-2.2471910112359605,2.193794198691998,2.2471910112359605,False,
2024-03-06,0.425,-2.298850574712641,1.287929547774342,2.298850574712641,False,
2024-03-07,0.38,-10.588235294117643,3.9946834828013453,10.588235294117643,False,
2024-03-08,0.375,-1.3157894736842146,3.7753321735806016,1.3157894736842146,False,
2024-03-09,0.355,-5.333333333333334,3.7601636207538847,5.333333333333334,False,
2024-03-10,0.345,-2.8169014084507116,3.5143146112724515,2.8169014084507116,False,
2024-03-11,0.235,-31.88405797101449,10.964836834148878,31.88405797101449,True,top_10%
