date,price,price_change,daily_return_pct,rolling_volatility_7d,ma_7d
2024-01-05,0.5,-0.09499999999999997,-18.999999999999993,10.629130568129447,0.45285714285714285
2024-01-06,0.405,-0.09499999999999997,-18.999999999999993,10.629130568129447,0.45285714285714285
2024-01-07,0.405,0.0,0.0,10.629130568129447,0.45285714285714285
2024-01-08,0.475,0.06999999999999995,17.28395061728394,10.629130568129447,0.45285714285714285
2024-01-09,0.465,-0.009999999999999953,-2.1052631578947323,10.629130568129447,0.45285714285714285
2024-01-10,0.455,-0.010000000000000009,-2.1505376344086002,10.629130568129447,0.45285714285714285
2024-01-11,0.465,0.010000000000000009,2.19780219780219,10.629130568129447,0.45285714285714285
2024-01-12,0.475,0.009999999999999953,2.1505376344086002,10.629130568129447,0.4492857142857143
2024-01-13,0.485,0.010000000000000009,2.1052631578947434,6.676567985045866,0.46071428571428574
2024-01-14,0.485,0.0,0.0,6.676567985045866,0.47214285714285714
2024-01-15,0.475,-0.010000000000000009,-2.0618556701030966,2.1288820719903665,0.4721428571428571
2024-01-16,0.475,0.0,0.0,1.9168448944022776,0.4735714285714286
2024-01-17,0.485,0.010000000000000009,2.1052631578947434,1.6603462368405029,0.4778571428571428
2024-01-18,0.485,0.0,0.0,1.5863937548626046,0.48071428571428576
2024-01-19,0.485,0.0,0.0,1.4408315851367777,0.48214285714285715
2024-01-20,0.485,0.0,0.0,1.2029902046891843,0.48214285714285715
2024-01-21,0.485,0.0,0.0,1.2029902046891843,0.4821428571428571
2024-01-22,0.485,0.0,0.0,0.7957146800194428,0.4835714285714286
2024-01-23,0.545,0.06000000000000005,12.371134020618557,4.610478629658532,0.4935714285714286
2024-01-24,0.545,0.0,0.0,4.675849150629618,0.5021428571428571
2024-01-25,0.545,0.0,0.0,4.675849150629618,0.5107142857142858
2024-01-26,0.545,0.0,0.0,4.675849150629618,0.5192857142857144
2024-01-27,0.545,0.0,0.0,4.675849150629618,0.5278571428571429
2024-01-28,0.545,0.0,0.0,4.675849150629618,0.5364285714285715
2024-01-29,0.545,0.0,0.0,4.675849150629618,0.545
2024-01-30,0.545,0.0,0.0,0.0,0.545
2024-01-31,0.545,0.0,0.0,0.0,0.545
2024-02-01,0.525,-0.020000000000000018,-3.669724770642202,1.3870255890246967,0.5421428571428571
2024-02-02,0.525,0.0,0.0,1.3870255890246967,0.5392857142857144
2024-02-03,0.525,0.0,0.0,1.3870255890246967,0.5364285714285715
2024-02-04,0.525,0.0,0.0,1.3870255890246967,0.5335714285714286
2024-02-05,0.525,0.0,0.0,1.3870255890246967,0.5307142857142858
2024-02-06,0.525,0.0,0.0,1.3870255890246967,0.5278571428571429
2024-02-07,0.525,0.0,0.0,1.3870255890246967,0.525
2024-02-08,0.525,0.0,0.0,0.0,0.525
2024-02-09,0.525,0.0,0.0,0.0,0.525
2024-02-10,0.515,-0.010000000000000009,-1.904761904761909,0.7199323295414048,0.5235714285714286
2024-02-11,0.525,0.010000000000000009,1.9417475728155331,1.110428305536398,0.5235714285714286
2024-02-12,0.525,0.0,0.0,1.110428305536398,0.5235714285714286
2024-02-13,0.535,0.010000000000000009,1.904761904761898,1.3221190837949537,0.525
2024-02-14,0.525,-0.010000000000000009,-1.869158878504673,1.5556146505520017,0.525
2024-02-15,0.525,0.0,0.0,1.5556146505520017,0.525
2024-02-16,0.53,0.0050000000000000044,0.952380952380949,1.5956881200643847,0.5257142857142857
2024-02-17,0.525,-0.0050000000000000044,-0.9433962264150941,1.4215974302073593,0.5271428571428572
2024-02-18,0.525,0.0,0.0,1.2191947298479033,0.5271428571428572
2024-02-19,0.535,0.010000000000000009,1.904761904761898,1.4144589452661156,0.5285714285714286
2024-02-20,0.545,0.010000000000000009,1.869158878504673,1.4076842638651532,0.53
2024-02-21,0.545,0.0,0.0,1.0704017617565171,0.5328571428571429
2024-02-22,0.545,0.0,0.0,1.0704017617565171,0.5357142857142857
2024-02-23,0.545,0.0,0.0,1.0698377224700573,0.5378571428571429
2024-02-24,0.535,-0.010000000000000009,-1.834862385321101,1.2878572285675687,0.5392857142857143
2024-02-25,0.535,0.0,0.0,1.2878572285675687,0.5407142857142857
2024-02-26,0.535,0.0,0.0,1.0692915762725248,0.5407142857142857
2024-02-27,0.525,-0.010000000000000009,-1.869158878504673,0.9037428874809528,0.5378571428571429
2024-02-28,0.525,0.0,0.0,0.9037428874809528,0.535
2024-02-29,0.525,0.0,0.0,0.9037428874809528,0.5321428571428573
2024-03-01,0.525,0.0,0.0,0.9037428874809528,0.5292857142857144
2024-03-02,0.525,0.0,0.0,0.7064756504845551,0.5278571428571429
2024-03-03,0.535,0.010000000000000009,1.904761904761898,1.0894717179068896,0.5278571428571429
2024-03-04,0.535,0.0,0.0,1.0894717179068896,0.5278571428571429
2024-03-05,0.535,0.0,0.0,0.7199323295414,0.5292857142857142
2024-03-06,0.535,0.0,0.0,0.7199323295414,0.5307142857142858
2024-03-07,0.535,0.0,0.0,0.7199323295414,0.5321428571428573
2024-03-08,0.535,0.0,0.0,0.7199323295414,0.5335714285714286
2024-03-09,0.535,0.0,0.0,0.7199323295414,0.535
2024-03-10,0.535,0.0,0.0,0.0,0.535
2024-03-11,0.515,-0.020000000000000018,-3.738317757009346,1.412951300969083,0.5321428571428571
2024-03-12,0.515,0.0,0.0,1.412951300969083,0.5292857142857142
2024-03-13,0.515,0.0,0.0,1.412951300969083,0.5264285714285715
2024-03-14,0.515,0.0,0.0,1.412951300969083,0.5235714285714286
2024-03-15,0.515,0.0,0.0,1.412951300969083,0.5207142857142857
2024-03-16,0.515,0.0,0.0,1.412951300969083,0.5178571428571429
2024-03-17,0.515,0.0,0.0,1.412951300969083,0.515
2024-03-18,0.515,0.0,0.0,0.0,0.515
2024-03-19,0.515,0.0,0.0,0.0,0.515
2024-03-20,0.515,0.0,0.0,0.0,0.515
2024-03-21,0.515,0.0,0.0,0.0,0.515
2024-03-22,0.515,0.0,0.0,0.0,0.515
2024-03-23,0.515,0.0,0.0,0.0,0.515
2024-03-24,0.495,-0.020000000000000018,-3.8834951456310662,1.467823196152347,0.5121428571428571
2024-03-25,0.495,0.0,0.0,1.467823196152347,0.5092857142857142
2024-03-26,0.495,0.0,0.0,1.467823196152347,0.5064285714285715
2024-03-27,0.495,0.0,0.0,1.467823196152347,0.5035714285714287
2024-03-28,0.495,0.0,0.0,1.467823196152347,0.5007142857142857
2024-03-29,0.495,0.0,0.0,1.467823196152347,0.49785714285714283
2024-03-30,0.485,-0.010000000000000009,-2.020202020202022,1.5375120209682154,0.4935714285714286
2024-03-31,0.485,0.0,0.0,0.7635645919378501,0.4921428571428571
2024-04-01,0.485,0.0,0.0,0.7635645919378501,0.4907142857142857
2024-04-02,0.485,0.0,0.0,0.7635645919378501,0.48928571428571427
2024-04-03,0.485,0.0,0.0,0.7635645919378501,0.4878571428571429
2024-04-04,0.475,-0.010000000000000009,-2.0618556701030966,0.9959926857205886,0.48499999999999993
2024-04-05,0.465,-0.009999999999999953,-2.1052631578947323,1.1026941737734817,0.48071428571428576
2024-04-06,0.465,0.0,0.0,1.0167501103729542,0.4778571428571428
2024-04-07,0.465,0.0,0.0,1.0167501103729542,0.475
2024-04-08,0.465,0.0,0.0,1.0167501103729542,0.47214285714285714
2024-04-09,0.465,0.0,0.0,1.0167501103729542,0.4692857142857143
2024-04-10,0.465,0.0,0.0,1.0167501103729542,0.46642857142857136
2024-04-11,0.455,-0.010000000000000009,-2.1505376344086002,1.0383913289223576,0.4635714285714286
2024-04-12,0.455,0.0,0.0,0.8128268236757723,0.46214285714285713
2024-04-13,0.455,0.0,0.0,0.8128268236757723,0.46071428571428574
2024-04-14,0.455,0.0,0.0,0.8128268236757723,0.45928571428571435
2024-04-15,0.455,0.0,0.0,0.8128268236757723,0.45785714285714285
2024-04-16,0.455,0.0,0.0,0.8128268236757723,0.45642857142857146
2024-04-17,0.445,-0.010000000000000009,-2.197802197802201,1.0609740249425061,0.4535714285714286
2024-04-18,0.445,0.0,0.0,0.8306911494708455,0.4521428571428571
2024-04-19,0.425,-0.020000000000000018,-4.49438202247191,1.7621908726814461,0.4478571428571429
2024-04-20,0.425,0.0,0.0,1.7621908726814461,0.44357142857142856
